id,slug,draft,Title name,company,role,Image,link
Hl2Blo9pz,tokyo-keiki,false,Tokyo Keiki,Tokyo Keiki,Client,https://framerusercontent.com/images/7dk3jHvxkpLS9sZYob9BCvUbDo.png,https://www.tokyokeiki.jp/e/products/detail.html?pdid=289
PVDP25tRR,hindware,false,Hindware,Hindware,Client,https://framerusercontent.com/images/gvx92v1JyT8PK54RwCIBzL4Llhw.png,https://hindware.com/
nSDoFnkRU,bajaj-electricals,false,Bajaj Electricals,Bajaj Electricals,Client,https://framerusercontent.com/images/4cpxhqkZHmZXp0QsbmPrSAt8hk.png,https://www.bajajelectricals.com/
phTUvkrBE,wego,false,Weigao,Weigao,Client,https://framerusercontent.com/images/DIkXOBFKkJtsfT7ClZMybQhuZc.png,https://www.wegomedical.com/
mZwMbTDTN,hero-electronix,false,Hero Electronix,Hero Electronix,Client,https://framerusercontent.com/images/oxJsc7qUIxdH6d7XJbOvQQEao.png,https://www.heroelectronix.com/
uYCXhwNVX,tmmc,false,The Marine Mammal Center,The Marine Mammal Center,Client,https://framerusercontent.com/images/WUlSFyYs2jhnQw98Alv9VHTpCa8.png,https://www.marinemammalcenter.org/
UugfELQE8,thermax,false,Thermax,Thermax,Client,https://framerusercontent.com/images/SWyMI7WvbxVrjGoeJlhFBXszCRE.svg,https://www.thermaxglobal.com/
x8xFuIYJ2,btg,false,Blue Tees Golf,Blue Tees Golf,Client,https://framerusercontent.com/images/W9ONkFM8qT4hkPNvXrBHBbvL6o.svg,https://blueteesgolf.com/
gd9E_uZGw,morphy-richards,false,Morphy Richards,Morphy Richards,Client,https://framerusercontent.com/images/exFWz59UU8ob2PBB1VwdTp9E.png,https://morphyrichards.com/
TNOzWT0jp,ambee,false,Ambee,Ambee,Client,https://framerusercontent.com/images/ZCDEDMalHWGTG00XIRQeDzaT0qM.png,https://www.getambee.com/
LjQIc3OJN,somfy,false,Somfy,Somfy,Client,https://framerusercontent.com/images/6R7WxLE1QMLfdXwWz5spWTxHsQ.png,https://www.somfysystems.com/en-us/
R6baVOJjp,upright-education,false,Upright Education,Upright Education,Client,https://framerusercontent.com/images/JYZjJASzxRCyFB67yqXu2xRoCqw.png,https://huggl.framer.website/
